sesion_id,acta_id,nroperiodo,tipo_periodo,reunion,sesion,tipo_sesion,numero,fecha,hora,base_mayoria,tipo_mayoria,titulo,resultado,presidente_nombre,persona_id,votos_afirmativos,votos_negativos,abstenciones,ausentes
HCDN136R04,3796,136,Ordinario,4,3,Especial,28,2018-04-25,16:39,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2094-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,109,101,0,46
HCDN136R04,3781,136,Ordinario,4,3,Especial,13,2018-04-25,14:34,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1322-D-2018. Votación.,NEGATIVO,GIOJA José Luis,,128,98,0,30
HCDN136R04,3797,136,Ordinario,4,3,Especial,29,2018-04-25,16:47,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2011-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,114,103,0,39
HCDN136R04,3782,136,Ordinario,4,3,Especial,14,2018-04-25,14:47,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 775-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,129,103,0,24
HCDN136R04,3798,136,Ordinario,4,3,Especial,30,2018-04-25,16:57,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2310-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,105,107,4,40
HCDN136R04,3783,136,Ordinario,4,3,Especial,15,2018-04-25,14:56,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 350-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,115,102,0,39
HCDN136R04,3784,136,Ordinario,4,3,Especial,16,2018-04-25,14:59,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 256-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,113,101,1,41
HCDN136R04,3769,136,Ordinario,4,3,Especial,1,2018-04-25,13:03,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2133-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,132,106,0,18
HCDN136R04,3785,136,Ordinario,4,3,Especial,17,2018-04-25,15:07,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1605-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,121,101,1,33
HCDN136R04,3770,136,Ordinario,4,3,Especial,2,2018-04-25,13:14,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2142-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,139,101,0,16
HCDN136R04,3786,136,Ordinario,4,3,Especial,18,2018-04-25,15:15,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 0310-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,133,103,0,20
HCDN136R04,3771,136,Ordinario,4,3,Especial,3,2018-04-25,13:20,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1818-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,134,100,0,22
HCDN136R04,3787,136,Ordinario,4,3,Especial,19,2018-04-25,15:24,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 0505-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,126,100,2,28
HCDN136R04,3772,136,Ordinario,4,3,Especial,4,2018-04-25,13:28,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1831-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,139,101,0,16
HCDN136R04,3788,136,Ordinario,4,3,Especial,20,2018-04-25,15:33,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1388-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,125,98,0,33
HCDN136R04,3773,136,Ordinario,4,3,Especial,5,2018-04-25,13:36,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1761-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,129,102,1,24
HCDN136R04,3789,136,Ordinario,4,3,Especial,21,2018-04-25,15:41,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 4881-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,110,101,0,45
HCDN136R04,3774,136,Ordinario,4,3,Especial,6,2018-04-25,13:46,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1714-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,129,103,0,24
HCDN136R04,3790,136,Ordinario,4,3,Especial,22,2018-04-25,15:50,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2167-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,102,98,0,56
HCDN136R04,3775,136,Ordinario,4,3,Especial,7,2018-04-25,13:54,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1623-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,120,102,0,34
HCDN136R04,3791,136,Ordinario,4,3,Especial,23,2018-04-25,15:58,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 2168-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,108,98,0,50
HCDN136R04,3776,136,Ordinario,4,3,Especial,8,2018-04-25,14:04,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 6298-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,131,101,0,24
HCDN136R04,3792,136,Ordinario,4,3,Especial,24,2018-04-25,16:03,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 5643-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,100,100,0,56
HCDN136R05,3799,136,Ordinario,5,4,Especial,1,2018-05-09,11:21,Votos Emitidos,Tres cuartos,"Apartamiento del Reglamento solicitado por el Diputado DEL CAÑO, Nicolás",NEGATIVO,MONZÓ Emilio,,66,114,44,32
HCDN136R05,3800,136,Ordinario,5,4,Especial,2,2018-05-09,11:59,Votos Emitidos,Más de la mitad,Expediente 19-PE-2017 - Orden del Día 37. Votación.-,AFIRMATIVO,MONZÓ Emilio,,158,71,3,24
HCDN136R05,3801,136,Ordinario,5,4,Especial,3,2018-05-09,12:09,Votos Emitidos,Más de la mitad,Expediente 16-S-2018 - Orden del Día 48 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,222,8,1,25
HCDN136R05,3802,136,Ordinario,5,4,Especial,4,2018-05-09,12:30,Votos Emitidos,Más de la mitad,Expediente 2479-D-2016. Votación.-,AFIRMATIVO,MONZÓ Emilio,,163,74,1,18
HCDN136R06,3803,136,Ordinario,6,5,Especial,1,2018-05-09,23:34,Votos Emitidos,Más de la mitad,Expediente 1302-D-2017 y otros - Orden del Día 89. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,133,94,3,26
HCDN136R06,3804,136,Ordinario,6,5,Especial,2,2018-05-09,23:54,Votos Emitidos,Más de la mitad,Expediente 1302-D-2017 y otros - Orden del Día 89 - Votación en Particular,AFIRMATIVO,MONZÓ Emilio,,133,91,3,29
HCDN136R08,3805,136,Ordinario,8,7,Tablas,1,2018-06-14,09:51,Votos Emitidos,Más de la mitad,Expediente 230-D-2018 y otros - Orden del Día 155 - Votación en general.,AFIRMATIVO,MONZÓ Emilio,,129,125,1,1
HCDN136R10,3809,136,Ordinario,10,8,Especial,4,2018-07-04,15:26,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por el diputado DEL CAÑO, Nicolás para tratar el Expediente 3687-D-2018",NEGATIVO,MONZÓ Emilio,,84,116,11,45
HCDN136R10,3825,136,Ordinario,10,8,Especial,20,2018-07-04,19:38,Votos Emitidos,Más de la mitad,Expediente 5327-D-17 y otro - Orden del Día 134. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,182,0,3,71
HCDN136R10,3810,136,Ordinario,10,8,Especial,5,2018-07-04,15:33,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por la diputada TUNDIS, Mirta para tratar el Expediente 3079-D-2017.",NEGATIVO,MONZÓ Emilio,,30,167,11,48
HCDN136R10,3826,136,Ordinario,10,8,Especial,21,2018-07-04,19:52,Votos Emitidos,Más de la mitad,Expediente 2919-D-2018. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,186,0,0,70
HCDN136R10,3811,136,Ordinario,10,8,Especial,6,2018-07-04,16:08,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por el diputado CARMONA, Guillermo Ramón para tratar el Expediente 605-D-2018.",NEGATIVO,MONZÓ Emilio,,107,99,0,50
HCDN136R10,3827,136,Ordinario,10,8,Especial,22,2018-07-04,20:57,Votos Emitidos,Más de la mitad,Expediente 27-S-2017. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,203,0,0,53
HCDN136R10,3812,136,Ordinario,10,8,Especial,7,2018-07-04,16:12,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por el diputado SALVAREZZA, Roberto para tratar el Expediente 652-D-2018.",NEGATIVO,MONZÓ Emilio,,106,100,2,48
HCDN136R10,3828,136,Ordinario,10,8,Especial,23,2018-07-04,21:54,Votos Emitidos,Más de la mitad,Expedientes 148-S-2017 y 5523-D-2017 - Orden del Día 85. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,145,49,2,60
HCDN136R10,3813,136,Ordinario,10,8,Especial,8,2018-07-04,16:20,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por el diputado MOREAU, Leopoldo para tratar el Expediente 3984-D-2018.",NEGATIVO,MONZÓ Emilio,,101,91,2,62
HCDN136R10,3829,136,Ordinario,10,8,Especial,24,2018-07-05,02:25,Votos Emitidos,Más de la mitad,Expedientes 1919-D-2018 y 3240-D-2018 - Orden del Día 215. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,194,0,0,62
HCDN136R10,3814,136,Ordinario,10,8,Especial,9,2018-07-04,16:30,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por el diputado FILMUS, Daniel para tratar el Expediente 3967-D-2018.",NEGATIVO,MONZÓ Emilio,,100,99,3,54
HCDN136R10,3830,136,Ordinario,10,8,Especial,25,2018-07-05,02:34,Votos Emitidos,Más de la mitad,Expedientes 1919-D-2018 y 3240-D-2018 - Orden del Día 215 - Art. 7.,AFIRMATIVO,MONZÓ Emilio,,121,56,1,78
HCDN136R10,3815,136,Ordinario,10,8,Especial,10,2018-07-04,16:39,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por la diputada VOLNOVICH, Laura para tratar el Expediente 3996-D-2018.",NEGATIVO,MONZÓ Emilio,,102,98,0,56
HCDN136R10,3831,136,Ordinario,10,8,Especial,26,2018-07-05,02:47,Votos Emitidos,Más de la mitad,Expediente 007-PE-2017 - Orden del Día 47. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,114,61,1,80
HCDN136R10,3816,136,Ordinario,10,8,Especial,11,2018-07-04,16:47,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por la diputada SILEY, Vanesa para tratar el Expediente 3996-D-2018.",NEGATIVO,MONZÓ Emilio,,102,93,0,61
HCDN136R10,3817,136,Ordinario,10,8,Especial,12,2018-07-04,18:42,Votos Emitidos,Más de la mitad,Expediente 039-S-2018 - Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,202,0,0,54
HCDN136R10,3818,136,Ordinario,10,8,Especial,13,2018-07-04,19:00,Votos Emitidos,Más de la mitad,Expediente 588-D-18 - Orden del Día 21. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,185,17,5,49
HCDN136R10,3819,136,Ordinario,10,8,Especial,14,2018-07-04,19:03,Votos Emitidos,Más de la mitad,Expediente 71-S-17 - Orden del Día 38. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,207,0,5,44
HCDN136R10,3820,136,Ordinario,10,8,Especial,15,2018-07-04,19:05,Votos Emitidos,Más de la mitad,Expediente 93-S-17 - Orden del Día 77. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,141,0,71,44
HCDN136R10,3821,136,Ordinario,10,8,Especial,16,2018-07-04,19:07,Votos Emitidos,Más de la mitad,Expediente 101-S-16 - Orden del Día 104. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,205,3,1,47
HCDN136R10,3806,136,Ordinario,10,8,Especial,1,2018-07-04,15:14,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por la diputada Del PLÁ, Romina para tratar el Expediente 3963-D-2018",NEGATIVO,MONZÓ Emilio,,112,97,0,47
HCDN136R10,3822,136,Ordinario,10,8,Especial,17,2018-07-04,19:09,Votos Emitidos,Más de la mitad,Expediente 2838-D-17 - Orden del Día 135. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,210,0,0,46
HCDN136R10,3807,136,Ordinario,10,8,Especial,2,2018-07-04,15:15,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por la diputada Del PLÁ, Romina para tratar el Expediente 6730-D-2017.",NEGATIVO,MONZÓ Emilio,,82,109,19,46
HCDN136R10,3823,136,Ordinario,10,8,Especial,18,2018-07-04,19:25,Votos Emitidos,Más de la mitad,Expediente 3525-D-17 - Orden del Día 115. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,205,0,0,51
HCDN136R10,3808,136,Ordinario,10,8,Especial,3,2018-07-04,15:19,Votos Emitidos,Tres cuartos,"Apartamiento del reglamento propuesto por la diputada GONZÁLEZ SELIGRA, Nathalia para tratar el Expediente 4043-D-18",NEGATIVO,MONZÓ Emilio,,94,114,2,46
HCDN136R10,3824,136,Ordinario,10,8,Especial,19,2018-07-04,19:31,Votos Emitidos,Más de la mitad,Expediente 2648-D-18 - Orden del Día 124. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,198,0,1,57
HCDN136R15,3832,136,Ordinario,15,11,Especial,1,2018-10-25,05:44,Votos Emitidos,Más de la mitad,Expediente 16-JGM-2018 - O.D. 537 - Votación en General,AFIRMATIVO,MONZÓ Emilio,,138,103,8,7
HCDN136R15,3833,136,Ordinario,15,11,Especial,2,2018-10-25,05:50,Votos Emitidos,Más de la mitad,Expediente 06-PE-2018 - O.D. 531. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,142,24,21,69
HCDN136R15,3834,136,Ordinario,15,11,Especial,3,2018-10-25,05:56,Votos Emitidos,Más de la mitad,Expediente 111-S-2017 (y otro) - O.D. 532 - Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,184,0,1,71
HCDN136R15,3835,136,Ordinario,15,11,Especial,4,2018-10-25,06:06,Votos Emitidos,Más de la mitad,Expediente 4784-D-2018 - O.D. 533 - Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,139,36,8,73
HCDN136R15,3836,136,Ordinario,15,11,Especial,5,2018-10-25,06:21,Votos Emitidos,Más de la mitad,Expediente 6443-D-2018 - O.D. 534 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,130,38,8,80
HCDN136R17,3841,136,Extraordinario,17,1,Especial,5,2018-12-05,17:11,Votos Emitidos,Más de la mitad,Expediente 5550-D-2018 - O.D. 486. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,189,1,0,66
HCDN136R17,3842,136,Extraordinario,17,1,Especial,6,2018-12-05,17:35,Votos Emitidos,Más de la mitad,Expediente 70-D-2018 - O.D. 434. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,172,2,0,82
HCDN136R17,3843,136,Extraordinario,17,1,Especial,7,2018-12-05,18:34,Votos Emitidos,Más de la mitad,Expediente 972-D-2018 - O.D. 810. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,195,0,0,61
HCDN136R17,3844,136,Extraordinario,17,1,Especial,8,2018-12-05,18:58,Votos Emitidos,Más de la mitad,Expediente 2437-D-2017 y 302-D-2018 - O.D. 816. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,192,0,0,64
HCDN136R17,3845,136,Extraordinario,17,1,Especial,9,2018-12-05,19:43,Votos Emitidos,Más de la mitad,Expediente 21-PE-2017 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,196,0,0,60
HCDN136R17,3837,136,Extraordinario,17,1,Especial,1,2018-12-05,15:01,Votos Emitidos,Más de la mitad,Expediente 108-S-2018. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,189,1,4,62
HCDN136R17,3838,136,Extraordinario,17,1,Especial,2,2018-12-05,15:05,Votos Emitidos,Más de la mitad,Proyectos de Ley sin Disidencias ni Observaciones. Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,200,0,2,54
HCDN136R17,3839,136,Extraordinario,17,1,Especial,3,2018-12-05,16:11,Votos Emitidos,Más de la mitad,Expediente 6443-D-2018 - O.D. 809.,AFIRMATIVO,MONZÓ Emilio,,125,65,27,39
HCDN136R17,3840,136,Extraordinario,17,1,Especial,4,2018-12-05,16:39,Votos Emitidos,Más de la mitad,Expediente 26-S-2018 - O.D. 399 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,200,5,2,49
HCDN136R18,3846,136,Extraordinario,18,2,Especial,1,2018-12-06,12:52,Votos Emitidos,Más de la mitad,Expediente 7157-D-2018 - O.D. 982.Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,170,3,0,83
HCDN136R18,3847,136,Extraordinario,18,2,Especial,2,2018-12-06,14:05,Votos Emitidos,Más de la mitad,Expediente 36-S-2018 y 38-S-2018 - O.D. 235. Votación en General,AFIRMATIVO,MONZÓ Emilio,,134,55,4,63
HCDN136R18,3848,136,Extraordinario,18,2,Especial,3,2018-12-06,14:34,Votos Emitidos,Más de la mitad,Expediente 2786-D-2018 - O.D. 440 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,132,53,3,68
HCDN136R18,3849,136,Extraordinario,18,2,Especial,4,2018-12-06,15:28,Votos Emitidos,Más de la mitad,"Moción de Orden solicitada por el diputado CARMONA, Guillermo",AFIRMATIVO,MONZÓ Emilio,,112,94,0,50
HCDN136R18,3850,136,Extraordinario,18,2,Especial,5,2018-12-06,15:45,Votos Emitidos,Más de la mitad,Expediente 42-S-2018 - O.D. 550. Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,135,3,47,71
HCDN136R18,3851,136,Extraordinario,18,2,Especial,6,2018-12-06,16:15,Votos Emitidos,Más de la mitad,Expediente 2216-D-2017 y 2498-D-2018 - O.D. 567 - Votación en General,AFIRMATIVO,MONZÓ Emilio,,118,36,7,95
HCDN136R18,3852,136,Extraordinario,18,2,Especial,7,2018-12-06,16:47,Votos Emitidos,Más de la mitad,Expediente 65-S-2018 - O.D. 565 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,130,44,0,82
HCDN136R18,3853,136,Extraordinario,18,2,Especial,8,2018-12-06,17:08,Votos Emitidos,Más de la mitad,Expediente 150-S-2017 - O.D. 41 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,96,48,36,76
HCDN136R18,3854,136,Extraordinario,18,2,Especial,9,2018-12-06,18:09,Votos Emitidos,Más de la mitad,Expediente 108-S-2016 - O.D. 28 - Votación en General,AFIRMATIVO,MONZÓ Emilio,,195,2,1,58
HCDN136R18,3855,136,Extraordinario,18,2,Especial,10,2018-12-06,20:27,Votos Emitidos,Más de la mitad,Expediente 7073-D-2018  - O.D. 762. Votación en General,AFIRMATIVO,MONZÓ Emilio,,127,66,3,60
HCDN136R18,3856,136,Extraordinario,18,2,Especial,11,2018-12-06,21:38,Votos Emitidos,Más de la mitad,Expediente 7435-D-2018 - O.D. 983 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,174,0,2,80
HCDN136R19,3857,136,Extraordinario,19,3,Especial,1,2018-12-18,20:28,Votos Emitidos,Más de la mitad,Expediente 7-PE-2018 - O.D. 984. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,201,0,3,52
HCDN136R19,3858,136,Extraordinario,19,3,Especial,2,2018-12-18,20:51,Votos Emitidos,Más de la mitad,Expediente 7-PE-2018 - O.D. 984. Artículo 5.,AFIRMATIVO,MONZÓ Emilio,,141,49,6,60
HCDN136R19,3859,136,Extraordinario,19,3,Especial,3,2018-12-18,20:53,Votos Emitidos,Más de la mitad,Expediente 7-PE-2018 - O.D. 984. Artículo 6.,AFIRMATIVO,MONZÓ Emilio,,129,57,11,59
HCDN136R19,3860,136,Extraordinario,19,3,Especial,4,2018-12-18,21:49,Votos Emitidos,Más de la mitad,"Moción propuesta por el diputado LOUSTEAU, Martín",AFIRMATIVO,MONZÓ Emilio,,115,84,2,55
HCDN136R19,3861,136,Extraordinario,19,3,Especial,5,2018-12-18,21:56,Votos Emitidos,Tres cuartos,"Apartamiento de reglamento propuesto por la diputada TUNDIS, Mirta",NEGATIVO,MONZÓ Emilio,,119,72,0,65
HCDN136R19,3862,136,Extraordinario,19,3,Especial,6,2018-12-19,00:29,Votos Emitidos,Más de la mitad,"Ley ""Micaela"", de capacitación obligatoria en género para todas las personas que integran los tres poderes del Estado. Establecimiento.",AFIRMATIVO,MONZÓ Emilio,,171,1,0,84
HCDN136R19,3863,136,Extraordinario,19,3,Especial,7,2018-12-19,01:26,Votos Emitidos,Más de la mitad,Expediente 93-S-2018 Votacion General y Particular,AFIRMATIVO,MONZÓ Emilio,,112,46,4,94
HCDN135R04,3307,135,Ordinario,4,2,Especial,1,2017-04-19,16:12,Votos Emitidos,Más de la mitad,Expediente 4294-D-2016 - Orden del Día 1287 - Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,211,0,0,45
HCDN135R05,3308,135,Ordinario,5,3,Especial,1,2017-04-26,15:52,Votos Emitidos,Más de la mitad,Expediente 0149-S-2015 - Orden del Día 912. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,204,0,1,51
HCDN135R05,3309,135,Ordinario,5,3,Especial,2,2017-04-26,17:12,Votos Emitidos,Más de la mitad,Expediente 1295-D-2017 - Orden del Día 1288 - Votación en General.,AFIRMATIVO,MONZÓ Emilio,,194,0,0,62
HCDN135R05,3310,135,Ordinario,5,3,Especial,3,2017-04-26,18:17,Votos Emitidos,Más de la mitad,Expediente 0017-S-2017. Votación en General y Particular.,AFIRMATIVO,GIMÉNEZ Patricia Viviana,,181,0,4,71
HCDN135R05,3311,135,Ordinario,5,3,Especial,4,2017-04-26,19:52,Votos Emitidos,Más de la mitad,Expediente 0016-S-2017 - Votación en General y Particular,AFIRMATIVO,GIMÉNEZ Patricia Viviana,,167,0,1,88
HCDN135R05,3312,135,Ordinario,5,3,Especial,5,2017-04-26,20:04,Votos Emitidos,Más de la mitad,Expediente 0125-S-2016 Orden del Dia 1289 - Votación en General y Particular,AFIRMATIVO,GIMÉNEZ Patricia Viviana,,155,0,4,97
HCDN135R06,3317,135,Ordinario,6,4,Especial,5,2017-05-09,16:42,Votos Emitidos,Más de la mitad,Expediente 54-S-2016 - Orden del Dia 907 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,209,0,4,43
HCDN135R06,3318,135,Ordinario,6,4,Especial,6,2017-05-09,16:44,Votos Emitidos,Más de la mitad,Expediente 29-PE-2016 - Orden del Día 910 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,209,4,0,43
HCDN135R06,3319,135,Ordinario,6,4,Especial,7,2017-05-09,16:46,Votos Emitidos,Más de la mitad,Expediente 47-S-2016 - Orden del Día 1282 - Votación en General y Particular,AFIRMATIVO,MONZÓ Emilio,,208,0,4,44
